Subject,Session,Epoch,PredictedStage,Confidence
sub-360,01,0,0,0.81
sub-360,01,1,0,0.95
sub-360,01,2,0,0.9
sub-360,01,3,0,0.59
sub-360,01,4,0,0.98
sub-360,01,5,0,0.95
sub-360,01,6,0,0.82
sub-360,01,7,4,0.5
sub-360,01,8,0,0.59
sub-360,01,9,0,0.95
sub-360,01,10,0,0.8
sub-360,01,11,0,0.99
sub-360,01,12,0,0.88
sub-360,01,13,0,0.94
sub-360,01,14,0,0.61
sub-360,01,15,1,0.48
sub-360,01,16,1,0.5
sub-360,01,17,1,0.77
sub-360,01,18,1,0.82
sub-360,01,19,1,0.8
sub-360,01,20,1,0.82
sub-360,01,21,1,0.6
sub-360,01,22,4,0.35
sub-360,01,23,4,0.65
sub-360,01,24,4,0.83
sub-360,01,25,4,0.87
sub-360,01,26,4,0.94
sub-360,01,27,4,0.96
sub-360,01,28,0,0.49
sub-360,01,29,1,0.39
sub-360,01,30,0,0.44
sub-360,01,31,0,0.65
sub-360,01,32,4,0.59
sub-360,01,33,4,0.46
sub-360,01,34,4,0.58
sub-360,01,35,0,0.73
sub-360,01,36,0,0.77
sub-360,01,37,0,0.91
sub-360,01,38,0,0.81
sub-360,01,39,0,0.92
sub-360,01,40,0,1.0
sub-360,01,41,0,0.97
sub-360,01,42,0,0.96
sub-360,01,43,0,0.94
sub-360,01,44,0,0.84
sub-360,01,45,0,0.81
sub-360,01,46,0,0.8
sub-360,01,47,0,0.74
sub-360,01,48,0,0.71
sub-360,01,49,0,0.68
sub-360,01,50,0,0.61
sub-360,01,51,0,0.89
sub-360,01,52,0,0.99
sub-360,01,53,0,0.98
sub-360,01,54,0,0.85
sub-360,01,55,0,0.86
sub-360,01,56,0,0.86
sub-360,01,57,4,0.52
sub-360,01,58,0,0.79
sub-360,01,59,4,0.69
sub-360,01,60,4,0.88
sub-360,01,61,4,0.69
sub-360,01,62,4,0.5
sub-360,01,63,4,0.56
sub-360,01,64,4,0.79
sub-360,01,65,4,0.76
sub-360,01,66,4,0.96
sub-360,01,67,4,0.97
sub-360,01,68,4,0.94
sub-360,01,69,4,0.86
sub-360,01,70,4,0.93
sub-360,01,71,4,0.9
sub-360,01,72,4,0.95
sub-360,01,73,4,0.96
sub-360,01,74,4,0.95
sub-360,01,75,4,0.96
sub-360,01,76,4,0.94
sub-360,01,77,4,0.57
sub-360,01,78,4,0.71
sub-360,01,79,4,0.89
sub-360,01,80,4,0.91
sub-360,01,81,4,0.82
sub-360,01,82,4,0.52
sub-360,01,83,2,0.51
sub-360,01,84,4,0.7
sub-360,01,85,4,0.71
sub-360,01,86,4,0.89
sub-360,01,87,4,0.82
sub-360,01,88,4,0.89
sub-360,01,89,4,0.83
sub-360,01,90,4,0.89
sub-360,01,91,4,0.86
sub-360,01,92,4,0.96
sub-360,01,93,4,0.97
sub-360,01,94,4,0.95
sub-360,01,95,4,0.77
sub-360,01,96,4,0.9
sub-360,01,97,4,0.88
sub-360,01,98,4,0.96
sub-360,01,99,4,0.89
sub-360,01,100,4,0.82
sub-360,01,101,4,0.84
sub-360,01,102,4,0.75
sub-360,01,103,4,0.84
sub-360,01,104,4,0.89
sub-360,01,105,4,0.8
sub-360,01,106,4,0.64
sub-360,01,107,4,0.74
sub-360,01,108,4,0.75
sub-360,01,109,4,0.77
sub-360,01,110,4,0.84
sub-360,01,111,4,0.94
sub-360,01,112,4,0.99
sub-360,01,113,4,0.94
sub-360,01,114,4,0.99
sub-360,01,115,4,0.99
sub-360,01,116,0,0.65
sub-360,01,117,0,0.94
sub-360,01,118,0,0.94
sub-360,01,119,0,0.9
sub-360,01,120,0,0.82
sub-360,01,121,0,0.81
sub-360,01,122,0,0.69
sub-360,01,123,0,0.68
sub-360,01,124,0,0.77
sub-360,01,125,0,0.87
sub-360,01,126,0,0.88
sub-360,01,127,0,0.8
sub-360,01,128,0,0.63
sub-360,01,129,0,0.43
sub-360,01,130,2,0.54
sub-360,01,131,2,0.51
sub-360,01,132,2,0.63
sub-360,01,133,2,0.64
sub-360,01,134,0,0.56
sub-360,01,135,0,0.48
sub-360,01,136,2,0.6
sub-360,01,137,0,1.0
sub-360,01,138,0,1.0
sub-360,01,139,0,0.96
sub-360,01,140,0,0.86
sub-360,01,141,0,0.85
sub-360,01,142,0,0.91
sub-360,01,143,0,0.99
sub-360,01,144,0,1.0
sub-360,01,145,0,0.97
sub-360,01,146,0,0.62
sub-360,01,147,0,0.82
sub-360,01,148,2,0.44
sub-360,01,149,0,0.55
sub-360,01,150,1,0.46
sub-360,01,151,2,0.67
sub-360,01,152,2,0.85
sub-360,01,153,2,0.93
sub-360,01,154,2,0.93
sub-360,01,155,2,0.92
sub-360,01,156,2,0.91
sub-360,01,157,2,0.93
sub-360,01,158,2,0.75
sub-360,01,159,4,0.51
sub-360,01,160,4,0.62
sub-360,01,161,4,0.77
sub-360,01,162,4,0.73
sub-360,01,163,4,0.71
sub-360,01,164,4,0.67
sub-360,01,165,4,0.71
sub-360,01,166,4,0.56
sub-360,01,167,4,0.56
sub-360,01,168,4,0.5
sub-360,01,169,4,0.35
sub-360,01,170,4,0.46
sub-360,01,171,0,0.68
sub-360,01,172,0,0.71
sub-360,01,173,0,0.93
sub-360,01,174,0,0.99
sub-360,01,175,0,0.99
sub-360,01,176,0,1.0
sub-360,01,177,0,0.99
sub-360,01,178,0,1.0
sub-360,01,179,0,0.97
sub-360,01,180,0,0.65
sub-360,01,181,1,0.54
sub-360,01,182,1,0.51
sub-360,01,183,1,0.53
sub-360,01,184,1,0.61
sub-360,01,185,1,0.47
sub-360,01,186,1,0.48
sub-360,01,187,1,0.39
sub-360,01,188,1,0.53
sub-360,01,189,1,0.65
sub-360,01,190,1,0.6
sub-360,01,191,2,0.74
sub-360,01,192,2,0.92
sub-360,01,193,2,0.95
sub-360,01,194,2,0.48
sub-360,01,195,0,0.42
sub-360,01,196,2,0.61
sub-360,01,197,1,0.56
sub-360,01,198,2,0.72
sub-360,01,199,2,0.91
sub-360,01,200,2,0.96
sub-360,01,201,2,0.95
sub-360,01,202,2,0.96
sub-360,01,203,2,0.96
sub-360,01,204,2,0.83
sub-360,01,205,2,0.77
sub-360,01,206,2,0.85
sub-360,01,207,2,0.79
sub-360,01,208,0,0.7
sub-360,01,209,0,0.66
sub-360,01,210,1,0.46
sub-360,01,211,1,0.53
sub-360,01,212,1,0.38
sub-360,01,213,2,0.49
sub-360,01,214,2,0.54
sub-360,01,215,2,0.42
sub-360,01,216,0,0.56
sub-360,01,217,1,0.71
sub-360,01,218,2,0.71
sub-360,01,219,2,0.66
sub-360,01,220,2,0.75
sub-360,01,221,2,0.86
sub-360,01,222,2,0.93
sub-360,01,223,2,0.9
sub-360,01,224,2,0.76
sub-360,01,225,2,0.8
sub-360,01,226,2,0.74
sub-360,01,227,2,0.87
sub-360,01,228,2,0.93
sub-360,01,229,2,0.89
sub-360,01,230,2,0.92
sub-360,01,231,2,0.92
sub-360,01,232,2,0.95
sub-360,01,233,2,0.93
sub-360,01,234,2,0.94
sub-360,01,235,2,0.95
sub-360,01,236,2,0.92
sub-360,01,237,2,0.82
sub-360,01,238,0,0.46
sub-360,01,239,2,0.75
sub-360,01,240,2,0.73
sub-360,01,241,2,0.86
sub-360,01,242,2,0.56
sub-360,01,243,2,0.63
sub-360,01,244,1,0.36
sub-360,01,245,2,0.88
sub-360,01,246,2,0.88
sub-360,01,247,2,0.9
sub-360,01,248,2,0.83
sub-360,01,249,2,0.62
sub-360,01,250,2,0.71
sub-360,01,251,2,0.57
sub-360,01,252,2,0.53
sub-360,01,253,3,0.65
sub-360,01,254,3,0.66
sub-360,01,255,2,0.48
sub-360,01,256,3,0.76
