Subject,Session,Epoch,PredictedStage,Confidence
sub-462,03,0,4,0.83
sub-462,03,1,4,0.82
sub-462,03,2,4,0.81
sub-462,03,3,4,0.82
sub-462,03,4,4,0.85
sub-462,03,5,4,0.83
sub-462,03,6,4,0.78
sub-462,03,7,4,0.67
sub-462,03,8,4,0.69
sub-462,03,9,4,0.49
sub-462,03,10,2,0.42
sub-462,03,11,2,0.44
sub-462,03,12,2,0.44
sub-462,03,13,2,0.44
sub-462,03,14,2,0.42
sub-462,03,15,0,0.77
sub-462,03,16,0,0.98
sub-462,03,17,0,0.95
sub-462,03,18,0,0.54
sub-462,03,19,1,0.52
sub-462,03,20,1,0.7
sub-462,03,21,1,0.6
sub-462,03,22,1,0.57
sub-462,03,23,1,0.56
sub-462,03,24,1,0.45
sub-462,03,25,0,0.49
sub-462,03,26,1,0.45
sub-462,03,27,0,0.59
sub-462,03,28,0,0.85
sub-462,03,29,0,0.98
sub-462,03,30,1,0.81
sub-462,03,31,0,0.99
sub-462,03,32,0,1.0
sub-462,03,33,0,1.0
sub-462,03,34,0,1.0
sub-462,03,35,0,0.97
sub-462,03,36,0,0.88
sub-462,03,37,0,0.62
sub-462,03,38,0,0.65
sub-462,03,39,0,0.59
sub-462,03,40,0,0.62
sub-462,03,41,0,0.75
sub-462,03,42,0,0.85
sub-462,03,43,0,0.52
sub-462,03,44,0,0.98
sub-462,03,45,0,1.0
sub-462,03,46,0,1.0
sub-462,03,47,0,0.99
sub-462,03,48,0,0.98
sub-462,03,49,0,0.96
sub-462,03,50,1,0.56
sub-462,03,51,0,0.72
sub-462,03,52,0,0.98
sub-462,03,53,0,1.0
sub-462,03,54,0,0.86
sub-462,03,55,0,0.9
sub-462,03,56,0,0.84
sub-462,03,57,0,0.72
sub-462,03,58,0,0.79
sub-462,03,59,0,0.76
sub-462,03,60,0,0.83
sub-462,03,61,0,0.83
sub-462,03,62,0,0.78
sub-462,03,63,0,0.83
sub-462,03,64,0,0.81
sub-462,03,65,0,0.88
sub-462,03,66,0,1.0
sub-462,03,67,0,1.0
sub-462,03,68,0,0.94
sub-462,03,69,0,0.87
sub-462,03,70,0,1.0
sub-462,03,71,0,0.99
sub-462,03,72,0,0.99
sub-462,03,73,0,0.99
sub-462,03,74,0,0.95
sub-462,03,75,4,0.69
sub-462,03,76,4,0.99
sub-462,03,77,4,0.95
sub-462,03,78,4,0.7
sub-462,03,79,4,0.54
sub-462,03,80,4,0.88
sub-462,03,81,4,0.72
sub-462,03,82,4,0.83
