Subject,Session,Epoch,PredictedStage,Confidence
sub-913,02,0,0,0.42
sub-913,02,1,0,0.94
sub-913,02,2,0,0.94
sub-913,02,3,0,0.98
sub-913,02,4,0,0.97
sub-913,02,5,0,0.93
sub-913,02,6,0,0.91
sub-913,02,7,0,0.95
sub-913,02,8,0,0.97
sub-913,02,9,0,0.96
sub-913,02,10,0,0.93
sub-913,02,11,0,0.72
sub-913,02,12,0,0.99
sub-913,02,13,0,1.0
sub-913,02,14,0,0.99
sub-913,02,15,0,0.99
sub-913,02,16,0,0.99
sub-913,02,17,0,0.94
sub-913,02,18,0,0.65
sub-913,02,19,4,0.44
sub-913,02,20,0,0.54
sub-913,02,21,2,0.84
sub-913,02,22,2,0.73
sub-913,02,23,2,0.86
sub-913,02,24,2,0.86
sub-913,02,25,2,0.71
sub-913,02,26,2,0.82
sub-913,02,27,2,0.9
sub-913,02,28,2,0.82
sub-913,02,29,2,0.64
sub-913,02,30,2,0.84
sub-913,02,31,3,0.52
sub-913,02,32,2,0.75
sub-913,02,33,2,0.54
sub-913,02,34,2,0.6
sub-913,02,35,2,0.54
sub-913,02,36,2,0.54
sub-913,02,37,2,0.69
sub-913,02,38,2,0.6
sub-913,02,39,2,0.8
sub-913,02,40,2,0.78
sub-913,02,41,2,0.71
sub-913,02,42,4,0.47
sub-913,02,43,2,0.42
sub-913,02,44,2,0.63
sub-913,02,45,2,0.81
sub-913,02,46,2,0.59
sub-913,02,47,2,0.49
sub-913,02,48,3,0.76
sub-913,02,49,3,0.65
sub-913,02,50,2,0.62
sub-913,02,51,2,0.36
sub-913,02,52,2,0.6
sub-913,02,53,2,0.85
sub-913,02,54,2,0.9
sub-913,02,55,2,0.96
sub-913,02,56,2,0.88
sub-913,02,57,2,0.87
sub-913,02,58,2,0.42
sub-913,02,59,0,1.0
sub-913,02,60,0,0.99
sub-913,02,61,0,0.93
sub-913,02,62,0,0.97
sub-913,02,63,0,0.99
sub-913,02,64,0,0.92
sub-913,02,65,0,0.93
sub-913,02,66,0,0.88
sub-913,02,67,0,1.0
sub-913,02,68,0,0.95
sub-913,02,69,0,0.52
sub-913,02,70,0,0.98
sub-913,02,71,1,0.81
sub-913,02,72,1,0.6
sub-913,02,73,1,0.72
sub-913,02,74,2,0.83
sub-913,02,75,1,0.47
sub-913,02,76,1,0.63
sub-913,02,77,0,0.78
sub-913,02,78,0,0.65
sub-913,02,79,1,0.45
sub-913,02,80,1,0.47
sub-913,02,81,0,0.75
sub-913,02,82,0,0.44
sub-913,02,83,2,0.62
sub-913,02,84,2,0.75
sub-913,02,85,2,0.6
sub-913,02,86,4,0.39
sub-913,02,87,4,0.58
sub-913,02,88,4,0.65
sub-913,02,89,4,0.57
sub-913,02,90,4,0.76
sub-913,02,91,4,0.66
sub-913,02,92,4,0.86
sub-913,02,93,4,0.83
sub-913,02,94,4,0.78
sub-913,02,95,4,0.74
sub-913,02,96,4,0.73
sub-913,02,97,4,0.54
sub-913,02,98,2,0.46
sub-913,02,99,4,0.54
sub-913,02,100,2,0.56
sub-913,02,101,2,0.73
sub-913,02,102,2,0.67
sub-913,02,103,2,0.78
sub-913,02,104,2,0.88
sub-913,02,105,2,0.74
sub-913,02,106,0,0.54
sub-913,02,107,0,0.61
sub-913,02,108,0,0.96
sub-913,02,109,0,0.99
sub-913,02,110,0,0.95
sub-913,02,111,0,0.78
sub-913,02,112,0,0.51
sub-913,02,113,1,0.6
sub-913,02,114,0,1.0
sub-913,02,115,0,1.0
sub-913,02,116,0,1.0
sub-913,02,117,0,0.92
sub-913,02,118,0,0.99
sub-913,02,119,0,0.99
sub-913,02,120,0,0.89
sub-913,02,121,0,0.78
sub-913,02,122,0,0.86
sub-913,02,123,0,0.69
sub-913,02,124,1,0.42
sub-913,02,125,1,0.45
sub-913,02,126,4,0.56
sub-913,02,127,4,0.47
sub-913,02,128,1,0.58
sub-913,02,129,1,0.48
sub-913,02,130,1,0.56
sub-913,02,131,4,0.75
sub-913,02,132,4,0.98
sub-913,02,133,4,0.92
sub-913,02,134,4,0.77
sub-913,02,135,0,0.69
sub-913,02,136,0,0.99
sub-913,02,137,0,1.0
sub-913,02,138,0,1.0
sub-913,02,139,0,1.0
sub-913,02,140,0,1.0
sub-913,02,141,0,0.94
sub-913,02,142,0,0.95
sub-913,02,143,0,0.83
sub-913,02,144,0,0.99
sub-913,02,145,0,0.78
sub-913,02,146,0,0.76
sub-913,02,147,0,0.94
sub-913,02,148,0,0.58
sub-913,02,149,0,0.96
sub-913,02,150,0,0.8
sub-913,02,151,0,0.94
sub-913,02,152,0,0.93
sub-913,02,153,0,0.68
sub-913,02,154,4,0.61
sub-913,02,155,4,0.6
sub-913,02,156,4,0.68
sub-913,02,157,2,0.52
sub-913,02,158,4,0.54
sub-913,02,159,4,0.55
sub-913,02,160,4,0.44
sub-913,02,161,4,0.69
sub-913,02,162,4,0.74
sub-913,02,163,4,0.56
sub-913,02,164,4,0.67
sub-913,02,165,4,0.81
sub-913,02,166,4,0.86
sub-913,02,167,4,0.79
sub-913,02,168,4,0.76
sub-913,02,169,4,0.67
sub-913,02,170,4,0.59
sub-913,02,171,4,0.55
sub-913,02,172,4,0.6
sub-913,02,173,4,0.62
sub-913,02,174,4,0.62
sub-913,02,175,3,0.67
sub-913,02,176,3,0.48
sub-913,02,177,3,0.81
sub-913,02,178,3,0.74
sub-913,02,179,3,0.61
sub-913,02,180,2,0.71
sub-913,02,181,2,0.86
sub-913,02,182,2,0.86
sub-913,02,183,2,0.84
sub-913,02,184,2,0.88
sub-913,02,185,2,0.95
sub-913,02,186,2,0.93
sub-913,02,187,2,0.63
sub-913,02,188,0,0.62
sub-913,02,189,0,0.5
sub-913,02,190,1,0.44
sub-913,02,191,2,0.52
sub-913,02,192,0,0.98
sub-913,02,193,2,0.39
sub-913,02,194,1,0.53
sub-913,02,195,4,0.52
sub-913,02,196,2,0.47
sub-913,02,197,2,0.52
sub-913,02,198,2,0.5
sub-913,02,199,4,0.48
sub-913,02,200,0,0.86
sub-913,02,201,4,0.92
sub-913,02,202,4,0.59
sub-913,02,203,4,0.8
sub-913,02,204,4,0.95
sub-913,02,205,4,0.78
sub-913,02,206,4,0.83
sub-913,02,207,4,0.82
sub-913,02,208,3,0.42
sub-913,02,209,4,0.81
sub-913,02,210,4,0.82
sub-913,02,211,4,0.85
sub-913,02,212,4,0.83
sub-913,02,213,0,0.42
sub-913,02,214,0,0.69
sub-913,02,215,0,0.43
sub-913,02,216,0,0.88
sub-913,02,217,0,0.83
sub-913,02,218,0,0.89
sub-913,02,219,0,0.73
sub-913,02,220,0,0.63
sub-913,02,221,0,0.51
sub-913,02,222,0,0.68
sub-913,02,223,0,0.73
sub-913,02,224,0,0.51
sub-913,02,225,3,0.57
sub-913,02,226,2,0.62
sub-913,02,227,4,0.76
sub-913,02,228,4,0.83
sub-913,02,229,4,0.77
sub-913,02,230,4,0.81
sub-913,02,231,4,0.93
sub-913,02,232,4,0.99
sub-913,02,233,4,1.0
sub-913,02,234,4,0.98
sub-913,02,235,4,0.96
sub-913,02,236,4,0.84
sub-913,02,237,4,0.88
sub-913,02,238,4,0.92
sub-913,02,239,4,0.9
sub-913,02,240,4,0.77
sub-913,02,241,4,0.78
sub-913,02,242,2,0.48
sub-913,02,243,0,0.5
sub-913,02,244,2,0.76
sub-913,02,245,2,0.72
sub-913,02,246,0,0.49
sub-913,02,247,2,0.83
sub-913,02,248,2,0.79
sub-913,02,249,2,0.82
sub-913,02,250,2,0.77
sub-913,02,251,2,0.83
sub-913,02,252,2,0.7
sub-913,02,253,2,0.52
sub-913,02,254,2,0.67
sub-913,02,255,2,0.74
sub-913,02,256,2,0.54
sub-913,02,257,2,0.6
sub-913,02,258,2,0.35
sub-913,02,259,1,0.54
sub-913,02,260,1,0.51
sub-913,02,261,4,0.49
sub-913,02,262,4,0.79
sub-913,02,263,4,0.68
sub-913,02,264,0,0.48
sub-913,02,265,0,0.58
sub-913,02,266,4,0.55
sub-913,02,267,4,0.72
sub-913,02,268,2,0.35
sub-913,02,269,0,0.42
sub-913,02,270,0,0.47
sub-913,02,271,0,0.61
sub-913,02,272,0,0.95
sub-913,02,273,0,0.97
sub-913,02,274,0,0.94
sub-913,02,275,0,0.74
sub-913,02,276,0,0.98
sub-913,02,277,0,0.91
sub-913,02,278,0,0.79
sub-913,02,279,0,0.89
sub-913,02,280,0,0.97
sub-913,02,281,0,0.99
sub-913,02,282,0,0.94
sub-913,02,283,0,0.41
sub-913,02,284,4,0.53
sub-913,02,285,4,0.46
sub-913,02,286,4,0.88
sub-913,02,287,4,0.88
sub-913,02,288,4,0.83
sub-913,02,289,4,0.93
sub-913,02,290,4,0.88
sub-913,02,291,4,0.86
sub-913,02,292,4,0.82
sub-913,02,293,4,0.79
sub-913,02,294,4,0.74
sub-913,02,295,4,0.78
sub-913,02,296,4,0.81
sub-913,02,297,4,0.75
sub-913,02,298,4,0.7
sub-913,02,299,4,0.76
sub-913,02,300,4,0.74
sub-913,02,301,4,0.69
sub-913,02,302,4,0.56
sub-913,02,303,4,0.77
sub-913,02,304,4,0.93
sub-913,02,305,4,0.81
sub-913,02,306,4,0.76
sub-913,02,307,4,0.8
sub-913,02,308,4,0.75
sub-913,02,309,1,0.47
sub-913,02,310,2,0.54
sub-913,02,311,2,0.46
sub-913,02,312,1,0.39
sub-913,02,313,2,0.71
sub-913,02,314,2,0.84
sub-913,02,315,2,0.66
sub-913,02,316,0,0.61
sub-913,02,317,1,0.51
sub-913,02,318,0,0.43
sub-913,02,319,0,0.68
sub-913,02,320,0,0.63
sub-913,02,321,2,0.43
sub-913,02,322,0,0.45
sub-913,02,323,0,0.88
sub-913,02,324,0,0.58
sub-913,02,325,0,0.98
sub-913,02,326,0,0.98
sub-913,02,327,0,0.97
sub-913,02,328,0,0.89
sub-913,02,329,0,0.56
sub-913,02,330,2,0.64
sub-913,02,331,2,0.91
sub-913,02,332,2,0.56
sub-913,02,333,0,0.53
sub-913,02,334,0,0.6
sub-913,02,335,0,0.92
sub-913,02,336,0,0.91
sub-913,02,337,0,0.99
sub-913,02,338,0,0.99
sub-913,02,339,0,0.52
sub-913,02,340,4,0.56
sub-913,02,341,4,0.46
sub-913,02,342,0,0.72
sub-913,02,343,0,0.96
sub-913,02,344,0,0.99
sub-913,02,345,0,0.99
sub-913,02,346,0,0.98
sub-913,02,347,0,0.98
sub-913,02,348,0,0.95
sub-913,02,349,0,0.69
sub-913,02,350,1,0.53
sub-913,02,351,0,0.87
sub-913,02,352,0,0.6
sub-913,02,353,0,0.42
sub-913,02,354,0,0.99
sub-913,02,355,0,1.0
sub-913,02,356,0,1.0
sub-913,02,357,0,1.0
sub-913,02,358,0,1.0
sub-913,02,359,0,1.0
sub-913,02,360,0,1.0
sub-913,02,361,0,1.0
sub-913,02,362,0,1.0
sub-913,02,363,0,0.93
sub-913,02,364,0,0.87
sub-913,02,365,0,0.76
sub-913,02,366,0,0.53
sub-913,02,367,1,0.4
sub-913,02,368,2,0.59
sub-913,02,369,2,0.65
