Subject,Session,Epoch,PredictedStage,Confidence
sub-971,02,0,2,0.52
sub-971,02,1,2,0.52
sub-971,02,2,2,0.61
sub-971,02,3,2,0.91
sub-971,02,4,2,0.94
sub-971,02,5,2,0.93
sub-971,02,6,2,0.66
sub-971,02,7,2,0.58
sub-971,02,8,2,0.42
sub-971,02,9,1,0.41
sub-971,02,10,1,0.37
sub-971,02,11,1,0.59
sub-971,02,12,1,0.63
sub-971,02,13,1,0.79
sub-971,02,14,1,0.74
sub-971,02,15,0,0.56
sub-971,02,16,0,0.55
sub-971,02,17,0,0.5
sub-971,02,18,1,0.6
sub-971,02,19,0,0.46
sub-971,02,20,1,0.6
sub-971,02,21,2,0.39
sub-971,02,22,4,0.93
sub-971,02,23,0,0.49
sub-971,02,24,4,0.99
sub-971,02,25,4,0.99
sub-971,02,26,4,0.97
sub-971,02,27,4,0.93
sub-971,02,28,4,0.99
sub-971,02,29,4,1.0
sub-971,02,30,4,1.0
sub-971,02,31,4,1.0
sub-971,02,32,4,1.0
sub-971,02,33,4,0.97
sub-971,02,34,0,0.44
sub-971,02,35,2,0.53
sub-971,02,36,2,0.48
sub-971,02,37,4,0.67
sub-971,02,38,0,0.43
sub-971,02,39,0,0.76
sub-971,02,40,0,0.36
sub-971,02,41,4,0.52
sub-971,02,42,4,0.92
sub-971,02,43,4,0.53
sub-971,02,44,4,0.46
sub-971,02,45,0,0.43
sub-971,02,46,0,0.69
sub-971,02,47,1,0.56
sub-971,02,48,1,0.55
sub-971,02,49,1,0.63
sub-971,02,50,2,0.49
sub-971,02,51,2,0.53
sub-971,02,52,2,0.57
sub-971,02,53,2,0.52
sub-971,02,54,1,0.46
sub-971,02,55,2,0.56
sub-971,02,56,2,0.7
sub-971,02,57,2,0.77
sub-971,02,58,2,0.68
sub-971,02,59,4,0.59
sub-971,02,60,4,0.64
sub-971,02,61,1,0.4
sub-971,02,62,4,0.45
sub-971,02,63,4,0.59
sub-971,02,64,4,0.74
sub-971,02,65,4,0.59
sub-971,02,66,4,0.48
sub-971,02,67,0,0.82
sub-971,02,68,0,0.71
sub-971,02,69,0,0.63
sub-971,02,70,1,0.66
sub-971,02,71,1,0.93
sub-971,02,72,0,0.99
sub-971,02,73,0,1.0
sub-971,02,74,0,1.0
sub-971,02,75,0,1.0
sub-971,02,76,0,1.0
sub-971,02,77,0,0.98
sub-971,02,78,0,0.98
sub-971,02,79,0,0.99
sub-971,02,80,0,1.0
sub-971,02,81,0,0.99
sub-971,02,82,0,0.93
sub-971,02,83,0,0.79
sub-971,02,84,1,0.47
sub-971,02,85,0,0.88
sub-971,02,86,0,0.88
sub-971,02,87,0,0.59
sub-971,02,88,0,0.69
sub-971,02,89,1,0.7
sub-971,02,90,1,0.55
sub-971,02,91,2,0.51
sub-971,02,92,1,0.34
sub-971,02,93,1,0.52
sub-971,02,94,1,0.6
sub-971,02,95,2,0.64
sub-971,02,96,2,0.57
sub-971,02,97,2,0.75
sub-971,02,98,2,0.61
sub-971,02,99,1,0.48
sub-971,02,100,0,0.58
sub-971,02,101,1,0.63
sub-971,02,102,2,0.65
sub-971,02,103,1,0.46
sub-971,02,104,2,0.36
sub-971,02,105,0,0.68
sub-971,02,106,0,0.54
sub-971,02,107,0,0.87
sub-971,02,108,0,1.0
sub-971,02,109,0,1.0
sub-971,02,110,0,1.0
sub-971,02,111,0,0.98
sub-971,02,112,0,0.99
